I	FM	I
seine	PPOSAT	sein
Maske	NN	Maske
aufgesetzt	VVPP	aufsetzen
und	KON	und
ist	VAFIN	sein
durch	APPR	durch
die	ART	die
große	ADJA	groß
Tür	NN	Türe
im	APPRART	in
Hintergrund	NN	Hintergrund
weggegangen	VVPP	weggehen
.	$.	.
LORENZO	NE	Lorenzo
wendet	VVFIN	wenden
sich	PRF	sich
,	$,	,
sieht	VVFIN	sehen
sich	PRF	sich
allein	ADV	allein
.	$.	.
Schon	ADV	schon
fort	ADV	fort
,	$,	,
Gespenst	NN	Gespenst
?	$.	?
Ich	PPER	ich
will	VMFIN	wollen
zu	APPR	zu
ihr	PPER	ihr
.	$.	.
Vielleicht	ADV	vielleicht
,	$,	,
Hält	VVFIN	halten
an	APPR	an
der	ART	die
Tür	NN	Türe
links	ADV	links
still	ADJD	still
.	$.	.
daß	KOUS	dass
sie	PPER	sie
noch	ADV	noch
schläft	VVFIN	schlafen
!	$.	!
So	ADV	so
will	VMFIN	wollen
ich	PPER	ich
denn	ADV	denn
noch	ADV	noch
warten	VVINF	warten
.	$.	.
Kehrt	VVFIN	kehren
um	PTKVZ	um
,	$,	,
setzt	VVFIN	setzen
sich	PRF	sich
in	APPR	in
der	ART	die
Mitte	NN	Mitte
des	ART	die
Zimmers	NN	Zimmer
auf	APPR	auf
einen	ART	eine
Lehnstuhl	NN	Lehnstuhl
.	$.	.
Nun	ADV	nun
schon	ADV	schon
ich	PPER	ich
ihren	PPOSAT	ihr
Schlaf-	TRUNC	Schlaf-
und	KON	und
bald	ADV	bald
vielleicht	ADV	vielleicht
ermord	VVFIN	ermord
ich	PPER	ich
ihr	PPER	ihr
den	ART	die
Schlaf	NN	Schlaf
von	APPR	von
vielen	PIAT	viele
Nächten	NN	Nacht
!	$.	!
Nun	ADV	nun
ging	VVFIN	gehen
es	PPER	es
mir	PRF	ich
ans	APPRART	ans
Herz	NN	Herz
,	$,	,
als	KOKOM	als
Einer	NN	Einer
nur	ADV	nur
auf	APPR	auf
ihren	PPOSAT	ihr
Schatten	NN	Schatten
treten	VVINF	treten
wollte	VMFIN	wollen
–	NN	–
bald	ADV	bald
tret	VVFIN	tret
ich	PPER	ich
vielleicht	ADV	vielleicht
mit	APPR	mit
Fingern	NN	Finger
,	$,	,
die	PRELS	die
gepanzert	VVPP	panzern
,	$,	,
in	APPR	in
ihres	PPOSAT	ihr
Herzens	NN	Herz
Wunden	NN	Wunde
und	KON	und
in	APPR	in
meine	PPOSAT	mein
!	$.	!
Cesarino	NE	Cesarino
kommt	VVFIN	kommen
von	APPR	von
rückwärts	ADV	rückwärts
gegangen	VVPP	gehen
,	$,	,
legt	VVFIN	legen
ihm	PPER	er
die	ART	die
Hände	NN	Hand
auf	APPR	auf
die	ART	die
Schultern	NN	Schulter|Schultern
.	$.	.
LORENZO	NE	Lorenzo
auffahrend	ADJD	auffahrend
,	$,	,
ergreift	VVFIN	ergreifen
eine	ART	eine
Hand	NN	Hand
Cesarinos	NE	Cesarinos
.	$.	.
Vittoria	NE	Vittoria
!	$.	!
Cesarino	NE	Cesarino
tritt	VVFIN	treten
neben	APPR	neben
ihn	PPER	er
.	$.	.
Besser	ADJD	gut
wärs	ADJD	wärs
,	$,	,
wenn	KOUS	wenn
eure	PPOSAT	euer
Hände	NN	Hand
sich	PRF	sich
nicht	PTKNEG	nicht
so	ADV	so
ähnlich	ADJD	ähnlich
sähn	VVFIN	sähn
!	$.	!
CESARINO	NE	Cesarino
.	$.	.
Warum	PWAV	warum
denn	ADV	denn
besser	ADJD	gut
?	$.	?
Pause	NN	Pause
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Sag	VVIMP	sagen
,	$,	,
du	PPER	du
hast	VAFIN	haben
deine	PPOSAT	dein
Mutter	NN	Mutter
nie	ADV	nie
gekannt	VVPP	kennen
?	$.	?
CESARINO	NE	Cesarino
.	$.	.
Wie	KOUS	wie
,	$,	,
unsre	PPOSAT	unsre
Mutter	NN	Mutter
?	$.	?
LORENZO	NE	Lorenzo
.	$.	.
Deine	PPOSAT	dein
.	$.	.
CESARINO	NE	Cesarino
.	$.	.
Sie	PPER	Sie
war	VAFIN	sein
doch	ADV	doch
Vittorias	NE	Vittorias
Mutter	NN	Mutter
auch	ADV	auch
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Jawohl	ADV	jawohl
,	$,	,
jawohl	ADV	jawohl
.	$.	.
Er	PPER	er
versucht	VVFIN	versuchen
,	$,	,
Cesarino	NE	Cesarino
mit	APPR	mit
dem	ART	die
Bild	NN	Bild
auf	APPR	auf
der	ART	die
Dose	NN	Dose
zu	PTKZU	zu
vergleichen	VVINF	vergleichen
,	$,	,
die	PRELS	die
er	PPER	er
halbverdeckt	ADJD	halbverdeckt
in	APPR	in
der	ART	die
linken	ADJA	links
Hand	NN	Hand
hält	VVFIN	halten
.	$.	.
Cesarino	NE	Cesarino
geht	VVFIN	gehen
nach	APPR	nach
rückwärts	ADV	rückwärts
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Wo	PWAV	wo
gehst	VVFIN	gehen
du	PPER	du
hin	PTKVZ	hin
?	$.	?
CESARINO	NE	Cesarino
.	$.	.
Ich	PPER	ich
seh	FM	seh
,	$,	,
ob	KOUS	ob
jemand	PIS	jemand
kommt	VVFIN	kommen
.	$.	.
Er	PPER	er
geht	VVFIN	gehen
durch	APPR	durch
die	ART	die
Tür	NN	Türe
rechts	ADV	rechts
rückwärts	ADV	rückwärts
ab	PTKVZ	ab
.	$.	.
LORENZO	NE	Lorenzo
hinter	APPR	hinter
ihm	PPER	er
her	PTKVZ	her
,	$,	,
die	ART	die
Dose	NN	Dose
in	APPR	in
der	ART	die
Hand	NN	Hand
.	$.	.
Ein	ART	eine
Bild	NN	Bild
!	$.	!
ein	ART	eine
Bild	NN	Bild
!	$.	!
ein	ART	eine
und	KON	und
dasselbe	PDAT	dasselb
Bild	NN	Bild
!	$.	!
Er	PPER	er
bleibt	VVFIN	bleiben
stehen	VVFIN	stehen
,	$,	,
den	ART	die
Kopf	NN	Kopf
zu	APPR	zu
Boden	NN	Boden
gesenkt	VVPP	senken
.	$.	.
Vittoria	NE	Vittoria
von	APPR	von
links	ADV	links
,	$,	,
geht	VVFIN	gehen
leise	ADJD	leise
auf	APPR	auf
ihn	PPER	er
zu	PTKVZ	zu
.	$.	.
Er	PPER	er
tritt	VVFIN	treten
zurück	PTKVZ	zurück
,	$,	,
sieht	VVFIN	sehen
sie	PPER	sie
traurig	ADJD	traurig
an	PTKVZ	an
.	$.	.
Sie	PPER	Sie
nimmt	VVFIN	nehmen
seinen	PPOSAT	sein
Kopf	NN	Kopf
zwischen	APPR	zwischen
ihre	PPOSAT	ihr
Hände	NN	Hand
.	$.	.
Er	PPER	er
tritt	VVFIN	treten
wiederum	ADV	wiederum
zurück	PTKVZ	zurück
.	$.	.
Pause	NN	Pause
.	$.	.
VITTORIA	NE	Vittoria
.	$.	.
Du	PPER	du
siehst	VVFIN	sehen
nicht	PTKNEG	nicht
fröhlich	ADJD	fröhlich
aus	PTKVZ	aus
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Ich	PPER	ich
bin	VAFIN	sein
nicht	PTKNEG	nicht
fröhlich	ADJD	fröhlich
.	$.	.
Pause	NN	Pause
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Vittoria	NE	Vittoria
,	$,	,
wie	KOKOM	wie
hast	VAFIN	haben
du	PPER	du
heut	VVFIN	heuen
geschlafen	VVPP	schlafen
?	$.	?
Ohne	APPR	ohne
die	ART	die
Antwort	NN	Antwort
abzuwarten	VVIZU	abwarten
.	$.	.
Weißt	VVFIN	weißen
du	PPER	du
,	$,	,
ich	PPER	ich
wachte	VVFIN	wachen
einmal	ADV	einmal
morgens	ADV	morgens
auf	PTKVZ	auf
,	$,	,
indessen	KOUS	indessen
du	PPER	du
noch	ADV	noch
schliefest	ADJD	schliefest
.	$.	.
Über	APPR	über
dich	PPER	du
war	VAFIN	sein
ich	PPER	ich
gebeugt	VVPP	beugen
und	KON	und
haßte	VVFIN	hassen
deine	PPOSAT	dein
Augen	NN	Auge
,	$,	,
ich	PPER	ich
haßte	VVFIN	hassen
deine	PPOSAT	dein
süßen	ADJA	süß
Augenlider	NN	Augenlid
:	$.	:
denn	KON	denn
irgendwie	ADV	irgendwie
verstand	VVFIN	verstehen
ich	PPER	ich
,	$,	,
daß	KOUS	dass
darunter	PAV	darunter
ein	ART	eine
Traum	NN	Traum
war	VAFIN	sein
,	$,	,
angefüllt	VVPP	anfüllen
mit	APPR	mit
Leben	NN	Leben
,	$,	,
dran	PAV	dran
ich	PPER	ich
keinen	PIAT	keine
Anteil	NN	Anteil
hatte	VAFIN	haben
,	$,	,
keinen	PIAT	keine
Anteil	NN	Anteil
,	$,	,
nicht	PTKNEG	nicht
eines	ART	eine
Schattens	NN	Schatten
Anteil	NN	Anteil
!	$.	!
VITTORIA	NE	Vittoria
.	$.	.
Ja	PTKANT	ja
,	$,	,
mein	PPOSAT	mein
Lieber	NN	Liebe
.	$.	.
Doch	ADV	doch
war	VAFIN	sein
dies	PDS	dies
,	$,	,
weil	KOUS	weil
ich	PPER	ich
schlief	VVFIN	schlafen
.	$.	.
Nun	ADV	nun
bin	VAFIN	sein
ich	PPER	ich
wach	ADJD	wach
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Nein	PTKANT	nein
!	$.	!
dies	PDS	dies
ist	VAFIN	sein
,	$,	,
weil	KOUS	weil
du	PPER	du
wach	ADJD	wach
bist	VAFIN	sein
!	$.	!
Aber	KON	aber
dann	ADV	dann
müßt	VMFIN	müssen
ich	PPER	ich
die	ART	die
Lider	NN	Lid
nicht	PTKNEG	nicht
,	$,	,
ich	PPER	ich
müßte	VMFIN	müssen
ja	ADV	ja
die	ART	die
wachen	ADJA	wach
Augen	NN	Auge
hassen	VVINF	hassen
und	KON	und
die	ART	die
Lippen	NN	Lippe
und	KON	und
diese	PDAT	dies
süße	ADJA	süß
,	$,	,
helle	ADJA	hell
Stirn	NN	Stirn
und	KON	und
alles	PIS	alle
!	$.	!
VITTORIA	NE	Vittoria
.	$.	.
Ich	PPER	ich
weiß	VVFIN	wissen
nicht	PTKNEG	nicht
,	$,	,
was	PRELS	was
das	PDS	die
ist	VAFIN	sein
,	$,	,
wovon	PWAV	wovon
du	PPER	du
redest	VVFIN	reden
!	$.	!
Pause	NN	Pause
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Sag	VVIMP	sagen
mir	PPER	ich
,	$,	,
was	PWS	was
bin	VAFIN	sein
ich	PPER	ich
dir	PPER	du
?	$.	?
VITTORIA	NE	Vittoria
.	$.	.
Du	PPER	du
bist	VAFIN	sein
mein	PPOSAT	mein
Mann	NN	Mann
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
So	ADV	so
bist	VAFIN	sein
du	PPER	du
meine	PPOSAT	mein
Frau	NN	Frau
,	$,	,
und	KON	und
Mann	NN	Mann
und	KON	und
Frau	NN	Frau
,	$,	,
sagt	VVFIN	sagen
man	PIS	man
,	$,	,
sind	VAFIN	sein
eins	CARD	eins
.	$.	.
Mich	PPER	ich
dünkt	VVFIN	dünken
,	$,	,
dies	PDS	dies
ist	VAFIN	sein
nicht	PTKNEG	nicht
so	ADV	so
.	$.	.
VITTORIA	NE	Vittoria
.	$.	.
Du	PPER	du
bist	VAFIN	sein
ein	ART	eine
Ganzes	NN	Ganze
und	KON	und
auch	ADV	auch
ich	PPER	ich
bin	VAFIN	sein
ganz	ADV	ganz
:	$.	:
und	KON	und
kann	VMFIN	können
mich	PRF	ich
nur	ADV	nur
als	KOKOM	als
Ganzes	NN	Ganze
geben	VVINF	geben
,	$,	,
nicht	PTKNEG	nicht
den	ART	die
Kranz	NN	Kranz
auflösen	VVINF	auflösen
,	$,	,
der	PRELS	die
mein	PPOSAT	mein
Wesen	NN	Wesen
ist	VAFIN	sein
.	$.	.
Was	PWS	was
quälst	VVFIN	quälst
du	PPER	du
dich	PPER	du
und	KON	und
mich	PRF	ich
mit	APPR	mit
solchen	PIAT	solche
Worten	NN	Wort
?	$.	?
LORENZO	NE	Lorenzo
.	$.	.
Nicht	PTKNEG	nicht
genug	ADV	genug
deutlich	ADJD	deutlich
?	$.	?
Nun	ADV	nun
,	$,	,
hier	ADV	hier
ist	VAFIN	sein
ein	ART	eine
Bild	NN	Bild
!	$.	!
Hält	VVFIN	halten
ihr	PPER	ihr
die	ART	die
Dose	NN	Dose
hin	PTKVZ	hin
.	$.	.
Und	KON	und
der	ART	die
mirs	ADJA	mirs
gab	VVFIN	geben
–	ADJD	–
so	ADV	so
hat	VAFIN	haben
Natur	NN	Natur
noch	ADV	noch
nie	ADV	nie
mit	APPR	mit
lautem	ADJA	laut
Mund	NN	Mund
geschrien	VVPP	schreien
,	$,	,
ist	VAFIN	sein
der	ART	die
Vater	NN	Vater
des	ART	die
Burschen	NN	Bursche
,	$,	,
den	PRELS	die
du	PPER	du
deinen	PPOSAT	dein
Bruder	NN	Bruder
nennst	VVFIN	nennen
!	$.	!
und	KON	und
nicht	PTKNEG	nicht
dein	PPOSAT	dein
Vater	NN	Vater
,	$,	,
dir	PPER	du
ist	VAFIN	sein
er	PPER	er
nicht	PTKNEG	nicht
ähnlich	ADJD	ähnlich
,	$,	,
o	ADJA	o
,	$,	,
nicht	PTKNEG	nicht
dein	PPOSAT	dein
Vater	NN	Vater
,	$,	,
er	PPER	er
ist	VAFIN	sein
wohl	ADV	wohl
zu	PTKA	zu
jung	ADJD	jung
!	$.	!
Fast	ADV	fast
atemlos	ADJD	atemlos
.	$.	.
Des	ART	die
Burschen	NN	Bursche
Hände	NN	Hand
aber	ADV	aber
wieder	ADV	wieder
sind	VAFIN	sein
den	ART	die
deinen	PPOSAT	dein
allzu	PTKA	allzu
ähnlich	ADJD	ähnlich
,	$,	,
als	KOKOM	als
daß	KOUS	dass
nicht	PTKNEG	nicht
ein	ART	eine
fürchterlich	ADJD	fürchterlich
verwirrender	ADJA	verwirrend
Verdacht	NN	Verdacht
sich	PRF	sich
wie	KOKOM	wie
ein	ART	eine
Brand	NN	Brand
ganz	ADV	ganz
durch	APPR	durch
mein	PPOSAT	mein
Denken	NN	Denken
fräße	VVFIN	fräße
,	$,	,
von	APPR	von
hundert	CARD	hundert
dunklen	ADJA	dunkel
Dingen	NN	Ding
noch	ADV	noch
genährt	VVPP	nähren
:	$.	:
denn	KON	denn
der	ART	die
mirs	ADJA	mirs
gab	VVFIN	geben
,	$,	,
das	PDS	die
ist	VAFIN	sein
derselbe	PDAT	derselb
Mensch	NN	Mensch
,	$,	,
des	ART	die
Anblick	NN	Anblick
gestern	ADV	gestern
in	APPR	in
der	ART	die
Oper	NN	Oper
dich	PPER	du
unter	APPR	unter
der	ART	die
Schminke	NN	Schminke
so	ADV	so
erbleichen	VVINF	erbleichen
ließ	VVFIN	lassen
,	$,	,
als	KOUS	als
schlüg	NE	schlüg
ein	ART	eine
weißer	ADJA	weiß
Blitz	NN	Blitz
durch	APPR	durch
deinen	PPOSAT	dein
Leib	NN	Leib
–	ADJD	–
Er	PPER	er
hält	VVFIN	halten
inne	PTKVZ	inne
.	$.	.
VITTORIA	NN	VITTORIA
den	ART	die
Blick	NN	Blick
auf	APPR	auf
ihn	PPER	er
geheftet	VVPP	heften
,	$,	,
ruhig	ADJD	ruhig
.	$.	.
Daß	KOUS	dass
ich	PPER	ich
erschrak	VVFIN	erschrecken
,	$,	,
kann	VMFIN	können
sein	VAINF	sein
.	$.	.
Ich	PPER	ich
hab	VAIMP	haben
ihn	PPER	er
lange	ADV	lange
,	$,	,
so	ADV	so
lange	ADV	lange
nicht	PTKNEG	nicht
gesehen	VVPP	sehen
,	$,	,
daß	KOUS	dass
mir	PPER	ich
war	VAFIN	sein
,	$,	,
als	KOUS	als
müßt	VMFIN	müssen
nun	ADV	nun
meine	PPOSAT	mein
Mutter	NN	Mutter
hinter	APPR	hinter
ihm	PPER	er
aus	APPR	aus
ihrem	PPOSAT	ihr
Grabe	NN	Grab
aufgestanden	VVPP	aufstehen
kommen	VVINF	kommen
,	$,	,
zuhören	VVINF	zuhören
,	$,	,
wie	KOUS	wie
ich	PPER	ich
singe	VVFIN	singen
.	$.	.
Ich	PPER	ich
hab	VAIMP	haben
ihn	PPER	er
als	KOKOM	als
Kind	NN	Kind
sehr	ADV	sehr
oft	ADV	oft
gesehn	VVFIN	gesehn
,	$,	,
bis	KOUS	bis
zu	APPR	zu
dem	ART	die
Tag	NN	Tag
,	$,	,
da	KOUS	da
meine	PPOSAT	mein
Mutter	NN	Mutter
starb	VVFIN	sterben
und	KON	und
mich	PPER	ich
zurückließ	VVFIN	zurücklassen
und	KON	und
meinen	PPOSAT	mein
neugebornen	ADJA	neugebornen
Bruder	NN	Bruder
.	$.	.
Nach	APPR	nach
einer	ART	eine
kleinen	ADJA	klein
Pause	NN	Pause
.	$.	.
Meine	PPOSAT	mein
und	KON	und
meines	PPOSAT	mein
Bruders	NN	Bruder
Hände	NN	Hand
gleichen	VVFIN	gleichen
,	$,	,
glaub	VVIMP	glauben
ich	PPER	ich
,	$,	,
den	ART	die
Händen	NN	Hand
unsrer	PPOSAT	unser
Mutter	NN	Mutter
.	$.	.
Ich	PPER	ich
war	VAFIN	sein
damals	ADV	damals
zehn	CARD	zehn
Jahre	NN	Jahr
,	$,	,
und	KON	und
mein	PPOSAT	mein
Vater	NN	Vater
lange	ADV	lange
tot	ADJD	tot
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Wie	KOUS	wie
,	$,	,
deine	PPOSAT	dein
Mutter	NN	Mutter
war	VAFIN	sein
zweimal	ADV	zweimal
vermählt	VVPP	vermählen
?	$.	?
VITTORIA	NE	Vittoria
.	$.	.
Das	ART	die
nicht	PTKNEG	nicht
.	$.	.
Ich	PPER	ich
war	VAFIN	sein
ein	ART	eine
Kind	NN	Kind
,	$,	,
das	PRELS	die
viel	PIS	viele
verstand	VVFIN	verstehen
.	$.	.
Begreifst	VVFIN	begreifen
du	PPER	du
,	$,	,
was	PRELS	was
mirs	ADJD	mirs
war	VAFIN	sein
,	$,	,
nach	APPR	nach
siebzehn	CARD	siebzehn
Jahren	NN	Jahr
den	ART	die
Menschen	NN	Mensch
wiederum	ADV	wiederum
zu	PTKA	zu
sehn	VVIMP	sehnen
?	$.	?
Er	PPER	er
ist	VAFIN	sein
die	ART	die
Schuld	NN	Schuld
,	$,	,
daß	KOUS	dass
meine	PPOSAT	mein
Mutter	NN	Mutter
starb	VVFIN	sterben
und	KON	und
daß	KOUS	dass
mein	PPOSAT	mein
Bruder	NN	Bruder
lebt	VVFIN	leben
.	$.	.
Jetzt	ADV	jetzt
schweigen	VVFIN	schweigen
wir	PPER	wir
!	$.	!
Die	PDS	die
kommen	VVFIN	kommen
.	$.	.
Cesarino	NE	Cesarino
und	KON	und
Marfisa	NE	Marfisa
nähern	VVFIN	nähern
sich	PRF	sich
.	$.	.
Lorenzo	NE	Lorenzo
geht	VVFIN	gehen
ihnen	PPER	sie
einige	PIAT	einige
Schritte	NN	Schritt
entgegen	PTKVZ	entgegen
.	$.	.
Sie	PPER	Sie
entfernen	VVFIN	entfernen
sich	PRF	sich
wieder	ADV	wieder
.	$.	.
VITTORIA	NE	Vittoria
in	APPR	in
der	ART	die
Mitte	NN	Mitte
allein	PTKVZ	allein
.	$.	.
Ich	PPER	ich
lüge	VVFIN	lügen
wie	KOKOM	wie
ein	ART	eine
Grabstein	NN	Grabstein
,	$,	,
und	KON	und
ich	PPER	ich
bins	VVFIN	bins
ja	ADV	ja
auch	ADV	auch
allein	ADV	allein
,	$,	,
drin	PAV	drin
wie	KOKOM	wie
in	APPR	in
einem	ART	eine
Grab	NN	Grab
dies	PDS	dies
sonst	ADV	sonst
vergeßne	ADJA	vergeßne
Abenteuer	NN	Abenteuer
wohnt	VVFIN	wohnen
.	$.	.
Lorenzo	NE	Lorenzo
tritt	VVFIN	treten
wieder	ADV	wieder
zu	APPR	zu
ihr	PPER	ihr
.	$.	.
VITTORIA	NE	Vittoria
ohne	APPR	ohne
sich	PRF	sich
umzuwenden	VVIZU	umwenden
.	$.	.
Hast	VAFIN	haben
du	PPER	du
sie	PPER	sie
wieder	ADV	wieder
fortgeschickt	VVPP	fortschicken
?	$.	?
LORENZO	NE	Lorenzo
hart	ADJD	hart
bei	APPR	bei
ihr	PPER	ihr
.	$.	.
Vittoria	NE	Vittoria
,	$,	,
mach	VVIMP	machen
,	$,	,
daß	KOUS	dass
ich	PPER	ich
dir	PRF	du
glauben	VVINF	glauben
kann	VMFIN	können
!	$.	!
VITTORIA	NE	Vittoria
sieht	VVFIN	sehen
ihn	PPER	er
mit	APPR	mit
offenen	ADJA	offen
Augen	NN	Auge
an	PTKVZ	an
.	$.	.
Lorenzo	NE	Lorenzo
,	$,	,
was	PRELS	was
bin	VAFIN	sein
ich	PPER	ich
dir	PPER	du
,	$,	,
wenn	KOUS	wenn
dus	ADJD	dus
vermagst	VVFIN	vermagst
,	$,	,
jetzt	ADV	jetzt
zu	PTKZU	zu
zweifeln	VVINF	zweifeln
?	$.	?
LORENZO	NE	Lorenzo
.	$.	.
Alles	PIS	alle
bist	VAFIN	sein
du	PPER	du
mir	PPER	ich
,	$,	,
alles	PIAT	alle
–	NN	–
so	ADV	so
oder	KON	oder
so	ADV	so
,	$,	,
zum	APPRART	zu
Guten	NN	Gute
oder	KON	oder
zum	APPRART	zu
Schlimmen	NN	Schlimme
.	$.	.
Das	ART	die
einzige	ADJA	einzig
Geschenk	NN	Geschenk
,	$,	,
das	PRELS	die
mein	PPOSAT	mein
Leben	NN	Leben
je	APPR	je
mir	PPER	ich
zuwarf	VVFIN	zuwerfen
,	$,	,
eines	PIS	eine
aber	ADV	aber
,	$,	,
das	PRELS	die
alle	PIAT	alle
andern	PIS	andere
in	APPR	in
sich	PRF	sich
schließt	VVFIN	schließen
...	$.	...
Vittoria	NE	Vittoria
,	$,	,
ich	PPER	ich
habe	VAFIN	haben
Angst	NN	Angst
,	$,	,
an	APPR	an
dir	PPER	du
zu	PTKZU	zu
zweifeln	VVINF	zweifeln
und	KON	und
Angst	NN	Angst
an	APPR	an
dich	PPER	du
zu	PTKZU	zu
glauben	VVINF	glauben
.	$.	.
Was	PWS	was
immer	ADV	immer
du	PPER	du
redest	VVFIN	reden
,	$,	,
hab	VAIMP	haben
ich	PPER	ich
Angst	NN	Angst
,	$,	,
daß	KOUS	dass
das	ART	die
Leben	NN	Leben
mich	PRF	ich
überlistet	VVPP	überlisten
.	$.	.
VITTORIA	NE	Vittoria
.	$.	.
O	NN	O
,	$,	,
es	PPER	es
überlistet	VVFIN	überlisten
uns	PPER	wir
alle	PIS	alle
,	$,	,
mein	PPOSAT	mein
Freund	NN	Freund
!	$.	!
LORENZO	NE	Lorenzo
dringender	ADJD	dringender
.	$.	.
Vittoria	NE	Vittoria
,	$,	,
mach	VVIMP	machen
,	$,	,
daß	KOUS	dass
ich	PPER	ich
dir	PRF	du
glauben	VVINF	glauben
kann	VMFIN	können
!	$.	!
–	ADJA	–
Bedenk	VVIMP	bedenken
,	$,	,
wie	KOUS	wie
du	PPER	du
in	APPR	in
mein	PPOSAT	mein
Leben	NN	Leben
hineintratest	VVFIN	hineintratest
,	$,	,
beladen	VVFIN	beladen
mit	APPR	mit
Geheimnissen	NN	Geheimnis
–	NN	–
VITTORIA	NE	Vittoria
.	$.	.
Es	PPER	es
gab	VVFIN	geben
eine	ART	eine
Zeit	NN	Zeit
,	$,	,
da	KOUS	da
du	PPER	du
mich	PRF	ich
um	APPR	um
dieser	PDAT	dies
Dinge	NN	Ding
willen	APPO	willen
mehr	ADV	mehr
liebtest	VVFIN	lieben
.	$.	.
Du	PPER	du
selbst	ADV	selbst
verglichest	VVFIN	verglichest
mein	PPOSAT	mein
Wesen	NN	Wesen
mit	APPR	mit
einem	ART	eine
festgeflochtenen	ADJA	festgeflochtenen
Kranz	NN	Kranz
.	$.	.
Ja	PTKANT	ja
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
nicht	PTKNEG	nicht
dein	PPOSAT	dein
Geschöpf	NN	Geschöpf
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
das	ART	die
Geschöpf	NN	Geschöpf
des	ART	die
Lebens	NN	Leben
und	KON	und
beladen	VVFIN	beladen
mit	APPR	mit
dem	ART	die
Abglanz	NN	Abglanz
überwundener	ADJA	überwundener
Schmerzen	NN	Schmerz
;	$.	;
behängt	VVPP	behängen
mit	APPR	mit
dem	ART	die
Gold	NN	Gold
erstarrter	ADJA	erstarrt
Tränen	NN	Träne|Tränen
,	$,	,
trat	VVFIN	treten
ich	PPER	ich
in	APPR	in
dein	PPOSAT	dein
Leben	NN	Leben
hinein	PTKVZ	hinein
.	$.	.
Denk	VVIMP	denken
daran	PAV	daran
,	$,	,
wie	KOUS	wie
es	PPER	es
anfing	VVFIN	anfangen
,	$,	,
Lorenzo	NE	Lorenzo
.	$.	.
Hab	VAIMP	haben
ich	PPER	ich
gelogen	VVPP	lügen
?	$.	?
versprach	VVFIN	versprechen
ich	PPER	ich
zuviel	PIS	zuviele
?	$.	?
LORENZO	NE	Lorenzo
.	$.	.
Ich	PPER	ich
denk	VVIMP	denken
daran	PAV	daran
,	$,	,
Vittoria	NE	Vittoria
.	$.	.
Dein	PPOSAT	dein
Reden	NN	Rede|Reden
hat	VAFIN	haben
niemals	ADV	niemals
etwas	ADV	etwas
versprochen	VVPP	versprechen
,	$,	,
dein	PPOSAT	dein
Schweigen	NN	Schweigen
–	ADJD	–
auch	ADV	auch
nicht	PTKNEG	nicht
,	$,	,
dünkt	VVFIN	dünken
mich	PRF	ich
.	$.	.
Es	PPER	es
war	VAFIN	sein
nur	ADV	nur
dein	PPOSAT	dein
Wesen	NN	Wesen
,	$,	,
das	ART	die
Unaussprechliches	NN	Unaussprechliche
versprach	VVFIN	versprechen
–	ADJD	–
und	KON	und
hielt	VVFIN	halten
,	$,	,
Vittoria	NE	Vittoria
,	$,	,
ja	ADV	ja
,	$,	,
o	VVFIN	o
mehr	PIS	mehr
als	KOKOM	als
hielt	VVFIN	halten
!	$.	!
–	ADJA	–
–	NN	–
Ich	PPER	ich
war	VAFIN	sein
wohl	ADV	wohl
nicht	PTKNEG	nicht
der	ART	die
unglücklichste	ADJA	unglücklich
Mensch	NN	Mensch
auf	APPR	auf
der	ART	die
Welt	NN	Welt
,	$,	,
aber	KON	aber
vielleicht	ADV	vielleicht
der	ART	die
wenigst	ADJD	wenigst
Glückliche	ADJA	glücklich
–	NN	–
da	ADV	da
fand	VVFIN	finden
ich	PPER	ich
dich	PPER	du
.	$.	.
Welch	PIAT	welche
ein	ART	eine
Geschenk	NN	Geschenk
war	VAFIN	sein
das	PDS	die
!	$.	!
Ich	PPER	ich
,	$,	,
der	PRELS	die
ich	PPER	ich
an	APPR	an
einer	ART	eine
Welt	NN	Welt
und	KON	und
ihrer	PPOSAT	ihr
Sonne	NN	Sonne
nicht	PTKNEG	nicht
Lust	NN	Lust
gefunden	VVPP	finden
hatte	VAFIN	haben
,	$,	,
lernte	VVFIN	lernen
ein	ART	eine
Öllämpchen	NN	Öllämpchen
lieben	VVINF	lieben
,	$,	,
weil	KOUS	weil
es	PPER	es
dich	PPER	du
beleuchtete	VVFIN	beleuchten
!	$.	!
Du	PPER	du
warst	VAFIN	sein
die	ART	die
einzige	ADJA	einzig
Wirklichkeit	NN	Wirklichkeit
in	APPR	in
meinem	PPOSAT	mein
Leben	NN	Leben
,	$,	,
die	ART	die
Veste	NN	Veste
,	$,	,
auf	APPR	auf
der	PRELS	die
ich	PPER	ich
meine	PPOSAT	mein
Welt	NN	Welt
